name,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,profit,cluster
The Shining,6,6,1980,8.4,927000,Stanley Kubrick,Stephen King,Jack Nicholson,52,19000000,46998772,Warner Bros.,146,27998772,0
The Blue Lagoon,6,1,1980,5.8,65000,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,53,4500000,58853106,Columbia Pictures,104,54353106,1
Star Wars: Episode V - The Empire Strikes Back,4,0,1980,8.7,1200000,Irvin Kershner,Leigh Brackett,Mark Hamill,53,18000000,538375067,Lucasfilm,124,520375067,2
Airplane!,4,4,1980,7.7,221000,Jim Abrahams,Jim Abrahams,Robert Hays,53,3500000,83453539,Paramount Pictures,88,79953539,1
Caddyshack,6,4,1980,7.3,108000,Harold Ramis,Brian Doyle-Murray,Chevy Chase,53,6000000,39846344,Orion Pictures,98,33846344,3
Friday the 13th,6,9,1980,6.4,123000,Sean S. Cunningham,Victor Miller,Betsy Palmer,53,550000,39754601,Paramount Pictures,95,39204601,3
The Blues Brothers,6,0,1980,7.9,188000,John Landis,Dan Aykroyd,John Belushi,53,27000000,115229890,Universal Pictures,133,88229890,0
Raging Bull,6,3,1980,8.2,330000,Martin Scorsese,Jake LaMotta,Robert De Niro,53,18000000,23402427,Chartoff-Winkler Productions,129,5402427,0
Superman II,4,0,1981,6.8,101000,Richard Lester,Jerry Siegel,Gene Hackman,53,54000000,108185706,Dovemead Films,127,54185706,1
The Long Riders,6,3,1980,7.0,10000,Walter Hill,Bill Bryden,David Carradine,53,10000000,15795189,United Artists,100,5795189,3
Any Which Way You Can,4,0,1980,6.1,18000,Buddy Van Horn,Stanford Sherman,Clint Eastwood,53,15000000,70687344,The Malpaso Company,116,55687344,1
The Gods Must Be Crazy,4,1,1984,7.3,54000,Jamie Uys,Jamie Uys,N!xau,43,5000000,30031783,C.A.T. Films,109,25031783,1
Popeye,4,1,1980,5.3,30000,Robert Altman,Jules Feiffer,Robin Williams,53,20000000,49823037,Paramount Pictures,114,29823037,1
Ordinary People,6,6,1980,7.7,49000,Robert Redford,Judith Guest,Donald Sutherland,53,6000000,54766923,Paramount Pictures,124,48766923,3
Dressed to Kill,6,5,1980,7.1,37000,Brian De Palma,Brian De Palma,Michael Caine,53,6500000,31899000,Filmways Pictures,104,25399000,3
Somewhere in Time,4,6,1980,7.2,27000,Jeannot Szwarc,Richard Matheson,Christopher Reeve,53,5100000,9709597,Rastar Pictures,103,4609597,3
Fame,6,6,1980,6.6,21000,Alan Parker,Christopher Gore,Eddie Barth,53,10293750,21202829,Metro-Goldwyn-Mayer (MGM),134,10909079,3
9 to 5,4,4,1980,6.9,29000,Colin Higgins,Patricia Resnick,Jane Fonda,53,10000000,103300686,IPC Films,109,93300686,1
The Fog,6,9,1980,6.8,66000,John Carpenter,John Carpenter,Adrienne Barbeau,53,1000000,21448782,AVCO Embassy Pictures,89,20448782,3
Stir Crazy,6,4,1980,6.8,26000,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,53,10293750,101300000,Columbia Pictures,111,91006250,3
Cruising,6,5,1980,6.5,20000,William Friedkin,William Friedkin,Al Pacino,55,11000000,19814523,Lorimar Film Entertainment,102,8814523,3
Heaven's Gate,6,1,1981,6.8,14000,Michael Cimino,Michael Cimino,Kris Kristofferson,53,44000000,3484523,Partisan Productions,219,-40515477,0
The Final Countdown,4,0,1980,6.7,22000,Don Taylor,Thomas Hunter,Kirk Douglas,53,12000000,16647800,Bryna Productions,103,4647800,1
Xanadu,4,8,1980,5.3,12000,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,53,20000000,22762571,Universal Pictures,96,2762571,1
Urban Cowboy,4,6,1980,6.4,14000,James Bridges,Aaron Latham,John Travolta,53,10293750,46918287,Paramount Pictures,132,36624537,3
Altered States,6,9,1980,6.9,33000,Ken Russell,Paddy Chayefsky,William Hurt,53,10293750,19853892,Warner Bros.,102,9560142,3
Little Darlings,6,4,1980,6.5,5100,Ron Maxwell,Kimi Peck,Tatum O'Neal,53,10293750,34326249,Stephen Friedman/Kings Road Productions,96,24032499,3
Brubaker,6,5,1980,7.2,17000,Stuart Rosenberg,W.D. Richter,Robert Redford,53,9000000,37121708,Twentieth Century Fox,131,28121708,3
American Gigolo,6,5,1980,6.2,22000,Paul Schrader,Paul Schrader,Richard Gere,53,4800000,22743674,Paramount Pictures,117,17943674,3
My Bodyguard,4,4,1980,7.1,8900,Tony Bill,Alan Ormsby,Chris Makepeace,53,10293750,22482952,Twentieth Century Fox,102,12189202,1
Prom Night,6,9,1980,5.4,16000,Paul Lynch,William Gray,Leslie Nielsen,6,10293750,14796236,Guardian Trust Company,92,4502486,3
Smokey and the Bandit II,4,0,1980,5.3,15000,Hal Needham,Hal Needham,Burt Reynolds,53,10293750,66132626,Universal Pictures,100,55838876,1
Cattle Annie and Little Britches,4,6,1981,6.1,604,Lamont Johnson,David Eyre,Scott Glenn,53,5100000,534816,Cattle Annie Productions,97,-4565184,1
Seems Like Old Times,4,4,1980,6.7,9100,Jay Sandrich,Neil Simon,Goldie Hawn,53,10293750,43995918,Rastar Films,102,33702168,1
Private Benjamin,6,4,1980,6.2,24000,Howard Zieff,Nancy Meyers,Goldie Hawn,53,10000000,69847348,Warner Bros.,109,59847348,3
The Hollywood Knights,6,4,1980,6.3,4300,Floyd Mutrux,Floyd Mutrux,Tony Danza,53,4000000,10000000,PolyGram Filmed Entertainment,91,6000000,3
Motel Hell,6,4,1980,6.0,11000,Kevin Connor,Robert Jaffe,Rory Calhoun,53,3000000,6342668,Camp Hill,101,3342668,3
The Jazz Singer,4,6,1980,5.9,4000,Richard Fleischer,Samson Raphaelson,Laurence Olivier,53,10293750,27118000,EMI Films,115,16824250,1
Coal Miner's Daughter,4,3,1980,7.5,17000,Michael Apted,Thomas Rickman,Sissy Spacek,53,10293750,67182787,Universal Pictures,124,56889037,1
The Watcher in the Woods,4,7,1981,6.3,5700,John Hough,Brian Clemens,Bette Davis,53,11829508,5000000,Walt Disney Productions,84,-6829508,1
